Product Name,Price,transmission,fuel,engine_capacity
United Bravo Base Grade ,PKR 9.85 lacs,Manual,Petrol,796cc
JW Forland Bravo 1.0,PKR 9.89 lacs,Manual,Petrol,1809cc
Suzuki Ravi Euro ll,PKR 9.99 lacs,Manual,Petrol,796cc
Suzuki Bolan Cargo Van Euro ll,PKR 10.4 lacs,Manual,Petrol,796cc
Prince Pearl MT,PKR 10.49 lacs,Manual,Petrol,796cc
FAW Carrier Deckless,PKR 10.54 lacs,Manual,Petrol,970cc
Changan M9 Base Model 1.0,PKR 10.54 lacs,Manual,Petrol,999cc
FAW Carrier Flatbed,PKR 10.64 lacs,Manual,Petrol,970cc
FAW Carrier Standard,PKR 10.74 lacs,Manual,Petrol,970cc
Suzuki Bolan VX Euro II,PKR 10.99 lacs,Manual,Petrol,797cc
Suzuki Alto VX,PKR 11.35 lacs,Manual,Petrol,658cc
FAW X-PV Standard,PKR 12.09 lacs,Manual,Petrol,970cc
FAW X-PV Dual AC,PKR 12.69 lacs,Manual,Petrol,970cc
Suzuki Mega Carry Xtra Manual,PKR 12.99 lacs,Manual,Petrol,1493cc
Changan Karvaan Base Model 1.0,PKR 12.99 lacs,Manual,Petrol,999cc
FAW X-PV Power Edition,PKR 13.09 lacs,Manual,Petrol,970cc
Suzuki Alto VXR,PKR 13.98 lacs,Manual,Petrol,658cc
ZOTYE Z100 1.0,PKR 14.9 lacs,Manual,Petrol,998cc
FAW V2 VCT-i,PKR 15.74 lacs,Manual,Petrol,1298cc
Suzuki Alto VXL,PKR 15.98 lacs,Automatic,Petrol,658cc
Suzuki Wagon R VXR,PKR 16.05 lacs,Manual,Petrol,998cc
Suzuki Wagon R VXL,PKR 16.95 lacs,Manual,Petrol,998cc
JW Forland Bravo 3.0+,PKR 16.99 lacs,Manual,Diesel,2700cc
Mushtaq KY10 1.5 VVT,PKR 16.99 lacs,Manual,Petrol,1498cc
Suzuki Cultus VXR,PKR 17.45 lacs,Manual,Petrol,998cc
Suzuki Cultus VXL,PKR 18.65 lacs,Manual,Petrol,998cc
Suzuki Wagon R AGS,PKR 18.9 lacs,Automatic,Petrol,998cc
KIA Picanto 1.0 MT,PKR 18.99 lacs,Manual,Petrol,998cc
Suzuki Cultus Auto Gear Shift,PKR 19.85 lacs,Automatic,Petrol,998cc
Suzuki Swift DLX 1.3 Navigation ,PKR 19.95 lacs,Manual,Petrol,1328cc
